YEAR,EIA Plant Id,Plant Name,Plant State,Sector,Sector Name,North American Industiral Classification System (NAICS) Code,"Combined Heat And Power Status (Y = Chp, N= Non-Chp)",Reporting Frequency (Annual Or Monthly),Nameplate Capacity (MW),Annual capacity (actual/nameplate)
2012,2,Bankhead Dam,AL,1,Electric Utility,22,N,A,45,0.40
2012,3,Barry,AL,1,Electric Utility,22,N,M,2841.5,0.53
2012,4,Walter Bouldin Dam,AL,1,Electric Utility,22,N,M,225,0.19
2012,7,Gadsden,AL,1,Electric Utility,22,N,A,138,0.18
2012,8,Gorgas,AL,1,Electric Utility,22,N,M,1416.7,0.25
2012,9,Copper,TX,1,Electric Utility,22,N,A,80.5,0.05
2012,10,Greene County,AL,1,Electric Utility,22,N,M,1288.4,0.19
2012,11,H Neely Henry Dam,AL,1,Electric Utility,22,N,A,72.9,0.20
2012,12,Holt Dam,AL,1,Electric Utility,22,N,A,40,0.44
2012,13,Jordan Dam,AL,1,Electric Utility,22,N,A,100,0.23
2012,14,Logan Martin Dam,AL,1,Electric Utility,22,N,M,128.1,0.18
2012,15,Lay Dam,AL,1,Electric Utility,22,N,M,177,0.23
2012,16,Martin Dam,AL,1,Electric Utility,22,N,M,210.6,0.10
2012,17,Mitchell Dam,AL,1,Electric Utility,22,N,M,170,0.20
2012,18,Lewis Smith Dam,AL,1,Electric Utility,22,N,M,157.4,0.16
2012,19,Thurlow Dam,AL,1,Electric Utility,22,N,A,91,0.16
2012,20,Weiss Dam,AL,1,Electric Utility,22,N,A,87.6,0.18
2012,21,Yates Dam,AL,1,Electric Utility,22,N,A,50.5,0.17
2012,26,E C Gaston,AL,1,Electric Utility,22,N,M,2034,0.46
2012,30,Madelia,MN,1,Electric Utility,22,N,A,11.8,0.00
2012,34,Rollins,CA,2,NAICS-22 Non-Cogen,22,N,A,12.1,0.53
2012,38,Millers Ferry,AL,1,Electric Utility,22,N,A,101.1,0.34
2012,46,Browns Ferry,AL,1,Electric Utility,22,N,M,1152,2.58
2012,47,Colbert,AL,1,Electric Utility,22,N,M,1826,0.21
2012,48,Guntersville,AL,1,Electric Utility,22,N,M,115.2,0.66
