"","Name","Code","Lat","Lon","State"
"21","Pathfinder","3334","43.602778","-96.638333","SD"
"22","Watts Bar Fossil","3419","35.6108","-84.7811","TN"
"25","Fallon","6511","39.472222","-118.791111","NV"
"64","Expander Turbine","10475","41.6836","-87.4233","IN"
"210","Mojave Solar Project","57331","35.011111","-117.323611","CA"
"258","Rising Tree Wind Farm","57621","35.0775","-118.218333","CA"
"276","Lake Hodges Hydroelectric Facility","57729","33.058611","-117.119444","CA"
"283","Palm Beach Renewable Energy","57898","26.772439","-80.141815","FL"
"294","Baffin Wind","57927","27.223056","-97.789167","TX"
"319","Port Westward Unit","58266","46.178889","-123.171944","OR"
"342","Headwaters Wind Farm LLC","58416","40.066667","-85.013333","IN"
"348","McCoy Solar Energy Project","58462","33.694722","-114.739722","CA"
"351","Ector County Energy Center","58471","32.069167","-102.585556","TX"
