"","Name","Code","Lat","Lon","State"
"1","Bankhead Dam","2","33.458665","-87.356823","AL"
"2","Barry","3","31.0069","-88.0103","AL"
"3","Walter Bouldin Dam","4","32.583889","-86.283056","AL"
"4","Gadsden","7","34.0128","-85.9708","AL"
"5","Gorgas","8","33.644344","-87.196486","AL"
"6","Copper","9","31.7569","-106.375","TX"
"7","Greene County","10","32.6017","-87.7811","AL"
"8","H Neely Henry Dam","11","33.7845","-86.0524","AL"
"9","Holt Dam","12","33.2553","-87.4495","AL"
"10","Jordan Dam","13","32.6189","-86.2548","AL"
"11","Logan Martin Dam","14","33.425878","-86.337547","AL"
"12","Lay Dam","15","32.9633","-86.5187","AL"
"13","Martin Dam","16","32.680394","-85.911442","AL"
"14","Mitchell Dam","17","32.806025","-86.444892","AL"
"15","Lewis Smith Dam","18","33.9406","-87.1077","AL"
"16","Thurlow Dam","19","32.535436","-85.887614","AL"
"17","Weiss Dam","20","34.172142","-85.753806","AL"
"18","Yates Dam","21","32.5743","-85.8901","AL"
"19","E C Gaston","26","33.244211","-86.458056","AL"
"20","Madelia","30","44.0525","-94.4153","MN"
"21","Rollins","34","39.134259","-120.953341","CA"
"22","Millers Ferry","38","32.100881","-87.399767","AL"
"23","Browns Ferry","46","34.7042","-87.1189","AL"
"24","Colbert","47","34.7439","-87.8486","AL"
"25","Guntersville","48","34.421272","-86.393931","AL"
"26","Wheeler Dam","49","34.8069","-87.3819","AL"
"27","Widows Creek","50","34.883022","-85.755253","AL"
"28","Dolet Hills","51","32.030556","-93.569167","LA"
"29","Gantt","53","31.4033","-86.479469","AL"
"30","J K Smith","54","37.8833","-84.1017","KY"
"31","Point A","55","31.361146","-86.518307","AL"
"32","Charles R Lowman","56","31.488019","-87.910747","AL"
"33","Platte","59","40.854765","-98.348222","NE"
"34","Whelan Energy Center","60","40.580872","-98.312437","NE"
"35","Annex Creek","62","58.3176","-134.101","AK"
"36","Gold Creek","63","58.3107","-134.4174","AK"
"37","Lemon Creek","64","58.3536","-134.4953","AK"
"38","Salmon Creek","65","58.3269","-134.4631","AK"
"39","Skagway","66","59.4545","-135.3131","AK"
"40","Haines","69","59.2358","-135.445","AK"
"41","Swan Lake","70","55.613892","-131.35417","AK"
"42","Terror Lake","71","57.6861","-152.895","AK"
"43","Venice Hydro","72","34.01135","-118.4168","CA"
"44","Anchorage","75","61.2221","-149.8661","AK"
"45","Eklutna Hydro Project","77","61.475211","-149.15009","AK"
"46","Snettisham","78","58.1415","-133.737","AK"
"47","Aurora Energy LLC Chena","79","64.847743","-147.735063","AK"
"48","Ketchikan","84","55.344641","-131.633425","AK"
"49","S W Bailey","85","55.3633","-131.6778","AK"
"50","Escalante","87","35.4159","-108.082","NM"
"51","Ashokan","88","41.949","-74.2063","NY"
"52","Snake River","90","64.505924","-165.429384","AK"
"53","Petersburg","91","56.81104","-132.957091","AK"
"54","Seward (AK)","92","60.1083","-149.4417","AK"
"55","Blue Lake Hydro","93","57.0516","-135.2297","AK"
"56","Wrangell","95","56.4522","-132.3683","AK"
"57","Beluga","96","61.1861","-151.0356","AK"
"58","Frederickson","99","47.079722","-122.365","WA"
"59","South Consolidated","100","33.466477","-111.781064","AZ"
"60","J S Eastwood","104","37.147926","-119.2567","CA"
"61","Holcomb","108","37.9308","-100.9725","KS"
"62","Dillingham","109","59.6708","-157.89","AK"
"63","Childs","112","34.351111","-111.700556","AZ"
"64","Cholla","113","34.9394","-110.3033","AZ"
"65","Douglas","114","31.364122","-109.5538","AZ"
"66","Irving","115","34.402222","-111.617222","AZ"
"67","Ocotillo","116","33.4225","-111.9122","AZ"
"68","West Phoenix","117","33.4417","-112.1583","AZ"
"69","Saguaro","118","32.5517","-111.3","AZ"
"70","Yucca","120","32.7214","-114.7106","AZ"
"71","Demoss Petrie","124","32.252273","-110.992148","AZ"
