ORIS Code,Fuel,FuelSimplified,Category,Generation,CarbonDioxide,AnnualCapacity,CapFactor,Lat,Lon,Name,State,popup,,,,,,,,Fuel Category,Simplification,https://www.eia.gov/survey/form/eia_860/instructions.pdf,
2,WAT,Hydro,EXCLUDE,159180,0,394470,0.403528785,33.46,-87.36,Bankhead Dam,Alabama,Plant Name =  Bankhead Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,AB,Biomass,,Biomass
3,BIT,Coal,COALST,13262529,9413906.16,24908589,0.532448024,31.01,-88.01,Barry,Alabama,Plant Name =  Barry  Fuel Type =  BIT  CPP Category =  COALST,,,,,,,,BFG,Natural Gas,,Natural Gas
4,WAT,Hydro,EXCLUDE,367088.01,0,1972350,0.186117074,32.58,-86.28,Walter Bouldin Dam,Alabama,Plant Name =  Walter Bouldin Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,BIT,Coal,,Coal
7,BIT,Coal,COALST,222100,218510.22,1209708,0.183598025,34.01,-85.97,Gadsden,Alabama,Plant Name =  Gadsden  Fuel Type =  BIT  CPP Category =  COALST,,,,,,,,BLQ,Biomass,,Petroleum
8,BIT,Coal,COALST,3052678,3239325.53,12418792.2,0.245811183,33.64,-87.2,Gorgas,Alabama,Plant Name =  Gorgas  Fuel Type =  BIT  CPP Category =  COALST,,,,,,,,DFO,Petroleum,,Geothermal
9,NG,Natural Gas,EXCLUDE,37420,37592.99,705663,0.053028145,31.76,-106.38,Copper,Texas,Plant Name =  Copper  Fuel Type =  NG  CPP Category =  EXCLUDE,,,,,,,,GEO,Geothermal,,Nuclear
10,BIT,Coal,COALST,2095100.96,2447355.47,11294114.4,0.185503784,32.6,-87.78,Greene County,Alabama,Plant Name =  Greene County  Fuel Type =  BIT  CPP Category =  COALST,,,,,,,,JF,Petroleum,,Other
11,WAT,Hydro,EXCLUDE,128403.99,0,639041.4,0.200932193,33.78,-86.05,H Neely Henry Dam,Alabama,Plant Name =  H Neely Henry Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,KER,Petroleum,,Purchased
12,WAT,Hydro,EXCLUDE,155852,0,350640,0.444478668,33.26,-87.45,Holt Dam,Alabama,Plant Name =  Holt Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,LFG,Biomass,,Solar
13,WAT,Hydro,EXCLUDE,201343,0,876600,0.229686288,32.62,-86.25,Jordan Dam,Alabama,Plant Name =  Jordan Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,LIG,Coal,,Hydro
14,WAT,Hydro,EXCLUDE,198294.99,0,1122924.6,0.176587983,33.43,-86.34,Logan Martin Dam,Alabama,Plant Name =  Logan Martin Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,MSW,Biomass,,Waste Heat
15,WAT,Hydro,EXCLUDE,349824,0,1551582,0.225462786,32.96,-86.52,Lay Dam,Alabama,Plant Name =  Lay Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,NG,Natural Gas,,Wind
16,WAT,Hydro,EXCLUDE,175967,0,1846119.6,0.095317226,32.68,-85.91,Martin Dam,Alabama,Plant Name =  Martin Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,NUC,Nuclear,,
17,WAT,Hydro,EXCLUDE,299105,0,1490220,0.200711975,32.81,-86.44,Mitchell Dam,Alabama,Plant Name =  Mitchell Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,OBG,Biomass,,
18,WAT,Hydro,EXCLUDE,220465,0,1379768.4,0.159784062,33.94,-87.11,Lewis Smith Dam,Alabama,Plant Name =  Lewis Smith Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,OBL,Biomass,,
19,WAT,Hydro,EXCLUDE,126499.01,0,797706,0.158578486,32.54,-85.89,Thurlow Dam,Alabama,Plant Name =  Thurlow Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,OBS,Biomass,,
20,WAT,Hydro,EXCLUDE,134742.99,0,767901.6,0.175469084,34.17,-85.75,Weiss Dam,Alabama,Plant Name =  Weiss Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,OG,Natural Gas,,
21,WAT,Hydro,EXCLUDE,74928,0,442683,0.169258815,32.57,-85.89,Yates Dam,Alabama,Plant Name =  Yates Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,OTH,Other,,
26,BIT,Coal,COALST,8134951,8966633.16,17830044,0.456249631,33.24,-86.46,E C Gaston,Alabama,Plant Name =  E C Gaston  Fuel Type =  BIT  CPP Category =  COALST,,,,,,,,PC,Coal,,
34,WAT,Hydro,EXCLUDE,56325,0,106068.6,0.531024262,39.13,-120.95,Rollins,California,Plant Name =  Rollins  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,PUR,Purchased,,
38,WAT,Hydro,EXCLUDE,299912.01,0,886242.6,0.338408479,32.1,-87.4,Millers Ferry,Alabama,Plant Name =  Millers Ferry  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,RFO,Petroleum,,
46,NUC,Nuclear,EXCLUDE,26078235.01,0,30628404,0.851439566,34.7,-87.12,Browns Ferry,Alabama,Plant Name =  Browns Ferry  Fuel Type =  NUC  CPP Category =  EXCLUDE,,,,,,,,SUB,Coal,,
47,BIT,Coal,COALST,3369461.04,3721938.57,16006716,0.210502956,34.74,-87.85,Colbert,Alabama,Plant Name =  Colbert  Fuel Type =  BIT  CPP Category =  COALST,,,,,,,,SUN,Solar,,
48,WAT,Hydro,EXCLUDE,666461,0,1009843.2,0.659964834,34.42,-86.39,Guntersville,Alabama,Plant Name =  Guntersville  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,TDF,Petroleum,,
49,WAT,Hydro,EXCLUDE,1104663.99,0,3541464,0.311922976,34.81,-87.38,Wheeler Dam,Alabama,Plant Name =  Wheeler Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,WAT,Hydro,,
50,BIT,Coal,COALST,4442303,4997647.15,17256747.6,0.257424116,34.88,-85.76,Widows Creek,Alabama,Plant Name =  Widows Creek  Fuel Type =  BIT  CPP Category =  COALST,,,,,,,,WC,Coal,,
51,LIG,Coal,COALST,4616823,5678438.03,6317656.2,0.730780982,32.03,-93.57,Dolet Hills,Louisiana,Plant Name =  Dolet Hills  Fuel Type =  LIG  CPP Category =  COALST,,,,,,,,WDL,Biomass,,
53,WAT,Hydro,EXCLUDE,3694,0,26298,0.140466956,31.4,-86.48,Gantt,Alabama,Plant Name =  Gantt  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,WDS,Biomass,,
54,NG,Natural Gas,EXCLUDE,885322.98,622894.73,14581364.4,0.060716059,37.88,-84.1,J K Smith,Kentucky,Plant Name =  J K Smith  Fuel Type =  NG  CPP Category =  EXCLUDE,,,,,,,,WH,Waste Heat,,
55,WAT,Hydro,EXCLUDE,10626,0,45583.2,0.233112199,31.36,-86.52,Point A,Alabama,Plant Name =  Point A  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,WND,Wind,,
56,BIT,Coal,COALST,1882211.57,2326098.17,4716108,0.399102728,31.49,-87.91,Charles R Lowman,Alabama,Plant Name =  Charles R Lowman  Fuel Type =  BIT  CPP Category =  COALST,,,,,,,,WO,Petroleum,,
59,SUB,Coal,COALST,441660,587336.65,962506.8,0.458864291,40.85,-98.35,Platte,Nebraska,Plant Name =  Platte  Fuel Type =  SUB  CPP Category =  COALST,,,,,,,,,,,
60,SUB,Coal,COALST,1361079,1596948.09,2842813.8,0.478778807,40.58,-98.31,Whelan Energy Center,Nebraska,Plant Name =  Whelan Energy Center  Fuel Type =  SUB  CPP Category =  COALST,,,,,,,,,,,
62,WAT,Hydro,EXCLUDE,21935,0,35064,0.625570386,58.32,-134.1,Annex Creek,Alaska,Plant Name =  Annex Creek  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
63,WAT,Hydro,EXCLUDE,3987,0,85030.2,0.046889223,58.31,-134.42,Gold Creek,Alaska,Plant Name =  Gold Creek  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
65,WAT,Hydro,EXCLUDE,28396,0,74511,0.381098093,58.33,-134.46,Salmon Creek 1,Alaska,Plant Name =  Salmon Creek 1  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
66,WAT,Hydro,EXCLUDE,3331,0,38570.4,0.086361562,59.45,-135.31,Skagway,Alaska,Plant Name =  Skagway  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
70,WAT,Hydro,EXCLUDE,96689,0,196358.4,0.492410816,55.61,-131.35,Swan Lake,Alaska,Plant Name =  Swan Lake  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
71,WAT,Hydro,EXCLUDE,131121,0,196358.4,0.66776364,57.69,-152.9,Terror Lake,Alaska,Plant Name =  Terror Lake  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
75,NG,Natural Gas,EXCLUDE,54633,40369.69,1064192.4,0.051337521,61.22,-149.87,Anchorage 1,Alaska,Plant Name =  Anchorage 1  Fuel Type =  NG  CPP Category =  EXCLUDE,,,,,,,,,,,
77,WAT,Hydro,EXCLUDE,71126,0,389210.4,0.182744346,61.48,-149.15,Eklutna Hydro Project,Alaska,Plant Name =  Eklutna Hydro Project  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
78,WAT,Hydro,EXCLUDE,290422.01,0,685501.2,0.423663751,58.14,-133.74,Snettisham,Alaska,Plant Name =  Snettisham  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
79,SUB,Coal,EXCLUDE,201405,362481.91,274375.8,0.734047974,64.85,-147.74,Aurora Energy LLC Chena,Alaska,Plant Name =  Aurora Energy LLC Chena  Fuel Type =  SUB  CPP Category =  EXCLUDE,,,,,,,,,,,
84,WAT,Hydro,EXCLUDE,24125.01,0,36817.2,0.655264659,55.34,-131.63,Ketchikan,Alaska,Plant Name =  Ketchikan  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
87,SUB,Coal,COALST,1122027,1383242.06,2252862,0.498045153,35.42,-108.08,Escalante,New Mexico,Plant Name =  Escalante  Fuel Type =  SUB  CPP Category =  COALST,,,,,,,,,,,
88,WAT,Hydro,EXCLUDE,10290,0,40323.6,0.255185549,41.95,-74.21,Ashokan,New York,Plant Name =  Ashokan  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
91,WAT,Hydro,EXCLUDE,13259,0,129736.8,0.102199222,56.81,-132.96,Petersburg,Alaska,Plant Name =  Petersburg  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
96,NG,Natural Gas,EXCLUDE,2009570.99,1241007.28,3281990.4,0.612302519,61.19,-151.04,Beluga,Alaska,Plant Name =  Beluga  Fuel Type =  NG  CPP Category =  EXCLUDE,,,,,,,,,,,
99,NG,Natural Gas,EXCLUDE,33876,33741.5,1558594.8,0.021734963,48.46,-122.44,Frederickson,Washington,Plant Name =  Frederickson  Fuel Type =  NG  CPP Category =  EXCLUDE,,,,,,,,,,,
100,WAT,Hydro,EXCLUDE,1314,0,12272.4,0.107069522,33.47,-111.78,South Consolidated,Arizona,Plant Name =  South Consolidated  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
104,WAT,Hydro,EXCLUDE,179428,0,1751446.8,0.10244559,37.15,-119.26,J S Eastwood,California,Plant Name =  J S Eastwood  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
108,SUB,Coal,COALST,1967702,2154747.24,3056704.2,0.643733208,37.93,-100.97,Holcomb,Kansas,Plant Name =  Holcomb  Fuel Type =  SUB  CPP Category =  COALST,,,,,,,,,,,
113,SUB,Coal,COALST,6984860,8468675.83,9895060.8,0.705893591,34.94,-110.3,Cholla,Arizona,Plant Name =  Cholla  Fuel Type =  SUB  CPP Category =  COALST,,,,,,,,,,,
116,NG,Natural Gas,OGST,74583.67,60247.14,2927844,0.025473922,33.42,-111.91,Ocotillo,Arizona,Plant Name =  Ocotillo  Fuel Type =  NG  CPP Category =  OGST,,,,,,,,,,,
117,NG,Natural Gas,NGCC,2271202,956555.03,11631605.4,0.195261266,33.44,-112.16,West Phoenix,Arizona,Plant Name =  West Phoenix  Fuel Type =  NG  CPP Category =  NGCC,,,,,,,,,,,
118,NG,Natural Gas,EXCLUDE,16728,12277.9,3817593,0.004381819,32.55,-111.3,Saguaro,Arizona,Plant Name =  Saguaro  Fuel Type =  NG  CPP Category =  EXCLUDE,,,,,,,,,,,
120,NG,Natural Gas,OGST,266119,149223.06,3725550,0.071430795,32.72,-114.71,Yucca,Arizona,Plant Name =  Yucca  Fuel Type =  NG  CPP Category =  OGST,,,,,,,,,,,
124,NG,Natural Gas,EXCLUDE,5488,5449.31,745110,0.007365355,32.25,-110.99,Demoss Petrie,Arizona,Plant Name =  Demoss Petrie  Fuel Type =  NG  CPP Category =  EXCLUDE,,,,,,,,,,,
126,NG,Natural Gas,OGST,803246,646882.81,4895811,0.164068017,32.16,-110.9,H Wilson Sundt Generating Station,Arizona,Plant Name =  H Wilson Sundt Generating Station  Fuel Type =  NG  CPP Category =  OGST,,,,,,,,,,,
127,SUB,Coal,COALST,3118474,3614819.62,6311520,0.49409239,34.08,-99.18,Oklaunion,Texas,Plant Name =  Oklaunion  Fuel Type =  SUB  CPP Category =  COALST,,,,,,,,,,,
130,BIT,Coal,COALST,13068757,14130509.43,20951616.6,0.623758885,33.37,-80.11,Cross,South Carolina,Plant Name =  Cross  Fuel Type =  BIT  CPP Category =  COALST,,,,,,,,,,,
141,NG,Natural Gas,OGST,54642,45811.61,5377941,0.010160394,33.56,-112.22,Agua Fria,Arizona,Plant Name =  Agua Fria  Fuel Type =  NG  CPP Category =  OGST,,,,,,,,,,,
143,WAT,Hydro,EXCLUDE,1929,0,289278,0.006668326,33.44,-111.95,Crosscut,Arizona,Plant Name =  Crosscut  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
145,WAT,Hydro,EXCLUDE,98074.01,0,1135197,0.086393824,33.59,-111.34,Horse Mesa,Arizona,Plant Name =  Horse Mesa  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
147,NG,Natural Gas,NGCC,1143100,498735.04,5029054.2,0.227299201,33.36,-111.94,Kyrene,Arizona,Plant Name =  Kyrene  Fuel Type =  NG  CPP Category =  NGCC,,,,,,,,,,,
148,WAT,Hydro,EXCLUDE,35532,0,556641,0.063832883,33.55,-111.44,Mormon Flat,Arizona,Plant Name =  Mormon Flat  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
149,WAT,Hydro,EXCLUDE,93843,0,315576,0.297370522,33.67,-111.16,Roosevelt,Arizona,Plant Name =  Roosevelt  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
150,WAT,Hydro,EXCLUDE,40799,0,113958,0.358017866,33.57,-111.54,Stewart Mountain,Arizona,Plant Name =  Stewart Mountain  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
152,WAT,Hydro,EXCLUDE,1149200.98,0,2233576.8,0.514511514,35.2,-114.57,Davis Dam,Arizona,Plant Name =  Davis Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
153,WAT,Hydro,EXCLUDE,3658362.99,0,11500992,0.318091082,36.94,-111.48,Glen Canyon Dam,Arizona,Plant Name =  Glen Canyon Dam  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
160,SUB,Coal,COALST,1624624,1858329.33,5791696.2,0.280509188,32.06,-109.89,Apache Station,Arizona,Plant Name =  Apache Station  Fuel Type =  SUB  CPP Category =  COALST,,,,,,,,,,,
161,WAT,Hydro,EXCLUDE,7760.01,0,28927.8,0.268254413,37.61,-120.59,Turlock Lake,California,Plant Name =  Turlock Lake  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
162,WAT,Hydro,EXCLUDE,3957,0,8766,0.451403149,37.62,-120.75,Hickman,California,Plant Name =  Hickman  Fuel Type =  WAT  CPP Category =  EXCLUDE,,,,,,,,,,,
