Number,Code,Name,Lat,Lon,State,Category,fuel type,name-sheet,state-sheet,,,,,,,
1,2,Bankhead Dam,33.45867,-87.3568,AL,EXCLUDE,WAT,Bankhead Dam,AL,,,,,,,
2,3,Barry,31.0069,-88.0103,AL,COALST,BIT,Barry,AL,,,,,,,
3,4,Walter Bouldin Dam,32.58389,-86.2831,AL,EXCLUDE,WAT,Walter Bouldin Dam,AL,,,,,,,
4,7,Gadsden,34.0128,-85.9708,AL,COALST,BIT,Gadsden,AL,,,,,,,
5,8,Gorgas,33.64434,-87.1965,AL,COALST,BIT,Gorgas,AL,,,,,,,
6,9,Copper,31.7569,-106.375,TX,EXCLUDE,NG,Copper,TX,,,,,,,
7,10,Greene County,32.6017,-87.7811,AL,COALST,BIT,Greene County,AL,,,,,,,
8,11,H Neely Henry Dam,33.7845,-86.0524,AL,EXCLUDE,WAT,H Neely Henry Dam,AL,,,,,,,
9,12,Holt Dam,33.2553,-87.4495,AL,EXCLUDE,WAT,Holt Dam,AL,,,,,,,
10,13,Jordan Dam,32.6189,-86.2548,AL,EXCLUDE,WAT,Jordan Dam,AL,,,,,,,
11,14,Logan Martin Dam,33.42588,-86.3375,AL,EXCLUDE,WAT,Logan Martin Dam,AL,,,,,,,
12,15,Lay Dam,32.9633,-86.5187,AL,EXCLUDE,WAT,Lay Dam,AL,,,,,,,
13,16,Martin Dam,32.68039,-85.9114,AL,EXCLUDE,WAT,Martin Dam,AL,,,,,,,
14,17,Mitchell Dam,32.80603,-86.4449,AL,EXCLUDE,WAT,Mitchell Dam,AL,,,,,,,
15,18,Lewis Smith Dam,33.9406,-87.1077,AL,EXCLUDE,WAT,Lewis Smith Dam,AL,,,,,,,
16,19,Thurlow Dam,32.53544,-85.8876,AL,EXCLUDE,WAT,Thurlow Dam,AL,,,,,,,
17,20,Weiss Dam,34.17214,-85.7538,AL,EXCLUDE,WAT,Weiss Dam,AL,,,,,,,
18,21,Yates Dam,32.5743,-85.8901,AL,EXCLUDE,WAT,Yates Dam,AL,,,,,,,
19,26,E C Gaston,33.24421,-86.4581,AL,COALST,BIT,E C Gaston,AL,,,,,,,
20,30,Madelia,44.0525,-94.4153,MN,EXCLUDE,NG,Madelia,MN,,,,,,,
21,34,Rollins,39.13426,-120.953,CA,EXCLUDE,WAT,Rollins,CA,,,,,,,
22,38,Millers Ferry,32.10088,-87.3998,AL,EXCLUDE,WAT,Millers Ferry,AL,,,,,,,
23,46,Browns Ferry,34.7042,-87.1189,AL,EXCLUDE,NUC,Browns Ferry,AL,,,,,,,
24,47,Colbert,34.7439,-87.8486,AL,COALST,BIT,Colbert,AL,,,,,,,
25,48,Guntersville,34.42127,-86.3939,AL,EXCLUDE,WAT,Guntersville,AL,,,,,,,
26,49,Wheeler Dam,34.8069,-87.3819,AL,EXCLUDE,WAT,Wheeler Dam,AL,,,,,,,
27,50,Widows Creek,34.88302,-85.7553,AL,COALST,BIT,Widows Creek,AL,,,,,,,
28,51,Dolet Hills,32.03056,-93.5692,LA,COALST,LIG,Dolet Hills,LA,,,,,,,
29,53,Gantt,31.4033,-86.4795,AL,EXCLUDE,WAT,Gantt,AL,,,,,,,
30,54,J K Smith,37.8833,-84.1017,KY,EXCLUDE,NG,J K Smith,KY,,,,,,,
31,55,Point A,31.36115,-86.5183,AL,EXCLUDE,WAT,Point A,AL,,,,,,,
32,56,Charles R Lowman,31.48802,-87.9107,AL,COALST,BIT,Charles R Lowman,AL,,,,,,,
33,59,Platte,40.85477,-98.3482,NE,COALST,SUB,Platte,NE,,,,,,,
34,60,Whelan Energy Center,40.58087,-98.3124,NE,COALST,SUB,Whelan Energy Center,NE,,,,,,,
35,62,Annex Creek,58.3176,-134.101,AK,EXCLUDE,WAT,Annex Creek,AK,,,,,,,
36,63,Gold Creek,58.3107,-134.417,AK,EXCLUDE,WAT,Gold Creek,AK,,,,,,,
37,64,Lemon Creek,58.3536,-134.495,AK,EXCLUDE,DFO,Lemon Creek,AK,,,,,,,
38,65,Salmon Creek,58.3269,-134.463,AK,EXCLUDE,WAT,Salmon Creek 1,AK,,,,,,,
39,66,Skagway,59.4545,-135.313,AK,EXCLUDE,WAT,Skagway,AK,,,,,,,
40,69,Haines,59.2358,-135.445,AK,EXCLUDE,DFO,Haines,AK,,,,,,,
41,70,Swan Lake,55.61389,-131.354,AK,EXCLUDE,WAT,Swan Lake,AK,,,,,,,
42,71,Terror Lake,57.6861,-152.895,AK,EXCLUDE,WAT,Terror Lake,AK,,,,,,,
43,72,Venice Hydro,34.01135,-118.417,CA,EXCLUDE,WAT,Venice,CA,,,,,,,
44,75,Anchorage,61.2221,-149.866,AK,EXCLUDE,NG,Anchorage 1,AK,,,,,,,
45,77,Eklutna Hydro Project,61.47521,-149.15,AK,EXCLUDE,WAT,Eklutna Hydro Project,AK,,,,,,,
46,78,Snettisham,58.1415,-133.737,AK,EXCLUDE,WAT,Snettisham,AK,,,,,,,
47,79,Aurora Energy LLC Chena,64.84774,-147.735,AK,EXCLUDE,SUB,Aurora Energy LLC Chena,AK,,,,,,,
48,84,Ketchikan,55.34464,-131.633,AK,EXCLUDE,WAT,Ketchikan,AK,,,,,,,
49,85,S W Bailey,55.3633,-131.678,AK,EXCLUDE,DFO,S W Bailey,AK,,,,,,,
50,87,Escalante,35.4159,-108.082,NM,COALST,SUB,Escalante,NM,,,,,,,
51,88,Ashokan,41.949,-74.2063,NY,EXCLUDE,WAT,Ashokan,NY,,,,,,,
52,90,Snake River,64.50592,-165.429,AK,EXCLUDE,DFO,Snake River,AK,,,,,,,
53,91,Petersburg,56.81104,-132.957,AK,EXCLUDE,WAT,Petersburg,AK,,,,,,,
54,92,Seward (AK),60.1083,-149.442,AK,EXCLUDE,DFO,Seward,AK,,,,,,,
