Name,State/Tribe,NGCCcapFactor,TotalGeneration,Demand2030,TotalNuclear,TotalHydro,TotalBiomass,TotalSolar,TotalWind,TotalGeothermal,TotalCoal,CoalCO2Mass,CoalCO2Rate,TotalNGCC,NGCCCO2Mass,NGCCCO2Rate,RateGoals,MassGoals,,,,,,,,,,,,,,,,,,,,,,
Alabama,AL,0.526210207,152982744.4,168983287,40841212.01,7435222.94,3605535.22,0,0,0,54087101.57,55626389.91,2056.91887,45548713.96,20025930.97,879.3192707,1018.066561,56880473.95,,,,,,,,,,,,,,,,,,,,,,
Arkansas,AR,0.267812796,64934645.58,71726193.02,15493131,2244031.97,1942373.32,0,0,0,28083856,32108696.01,2286.630156,15651185.02,7015577.4,896.4915297,1130.174626,30322631.9,,,,,,,,,,,,,,,,,,,,,,
Arizona,AZ,0.254642253,110552569.6,122115318.8,31933916.01,6796379.01,182020,937060.96,250398,0,40245563,44532086.57,2213.018442,28144725,12647850.07,898.7723326,1030.767341,30170749.98,,,,,,,,,,,,,,,,,,,,,,
California,CA,0.450278445,196441260.1,216987150.9,18507408,27566091.06,5444404.32,946651.99,9654329.02,12518909.92,8316296,1270049.22,305.4362711,86880322.84,40048047.09,921.9129437,827.9598441,48410119.36,,,,,,,,,,,,,,,,,,,,,,
Colorado,CO,0.305080599,52585936.87,58085926.62,0,1498875.03,36383.48,163193.22,5884426.99,0,35610615.22,38878295.19,2183.522804,7448179.03,3444159.96,924.8327534,1174.014362,29900396.15,,,,,,,,,,,,,,,,,,,,,,
Connecticut,CT,0.499283056,35475889.74,39186331,17077887,314857.02,1259368,0,0,0,103669,156930.68,3027.5334,15385325.54,6236535.96,810.7122522,785.8833286,6941522.284,,,,,,,,,,,,,,,,,,,,,,
Delaware,DE,0.495252458,8581027.58,9478521.597,0,0,0,22559,3638,0,1412833,1503148.3,2127.84993,5179269.98,2536173.1,979.3554342,916.1894575,4711824.313,,,,,,,,,,,,,,,,,,,,,,
Florida,FL,0.373268303,222156621.3,245392094.7,22992149.32,150510.99,5465586.4,105278,0,0,48104266.94,52316745.83,2175.139511,132925653.8,61037297.93,918.3674661,918.9313874,105094703.4,,,,,,,,,,,,,,,,,,,,,,
Lands of the Fort Mojave Tribe,Fort Mojave,0.370435796,89739822.76,99125756.23,0,2361782.02,247601.22,0,0,0,84041394.06,92319355.37,2196.997239,0,0,0,771,588518.7524,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA,0.45026908,122644480.2,135471928.4,33941634,2236201.99,3093036.69,1547,0,0,48490518,54647424.84,2253.942713,25651756,10734246.35,836.9209773,1049.063946,46346845.55,,,,,,,,,,,,,,,,,,,,,,
Iowa,IA,0.126326476,56444510.76,62348070.7,4346995,766190.96,0,0,13954247.03,0,31427585,39503120.64,2513.913852,3390551.04,642726.54,379.1280724,1283.017978,25018135.61,,,,,,,,,,,,,,,,,,,,,,
Idaho,ID,0.459584729,15465553.64,17083103.72,0,10940404.79,567032.52,0,1890559.02,74676,0,0,0,1214659,506599.54,834.142817,771,1492855.461,,,,,,,,,,,,,,,,,,,,,,
Illinois,IL,0.247402492,196754858.5,217333548.7,96401309,113626.98,201800,15080,7683448,0,75911719.98,87321569.94,2300.60839,7870423,3719026.23,945.0638752,1245.336613,66477156.3,,,,,,,,,,,,,,,,,,,,,,
Indiana,IN,0.411808301,114354998.5,126315445.7,0,433504.99,58442.12,0,3210104,0,93521615.07,100533541.1,2149.953057,12839309.01,6115550.96,952.6292973,1242.201581,76113834.19,,,,,,,,,,,,,,,,,,,,,,
