Name,State/Tribe,Region,State-region,Coal Steam Electric Generation (MWh),Coal Steam Carbon Dioxide Emissions (tons),Coal Steam Emission Rate (lb/MWh),NGCC Electric Generation (MWh),NGCC Carbon Dioxide Emissions (tons),NGCC Emission Rate (lb/MWh),NGCC Summer Capacity (MW),Oil and gas-fired steam Electric Generation (MWh),Oil and gas-fired steam Carbon Dioxide Emissions (tons),Oil and gas-fired steam Emission Rate (lb/MWh),Adjustment,Adjusted Coal Steam Gen (MWh),Adjusted NGCC Gen (MWh),Adjusted OG Gen (MWh),Summer  Capacity (MW),Summer Capacity (MW),Summer  Capacity (MW),Summer  Capacity (MW),Electric Generation (MWh),Emission Rate (lb/MWh),Carbon Dioxide Emissions (tons),Electric Generation (MWh),Emission Rate (lb/MWh),Carbon Dioxide Emissions (tons),Capacity (MW),Electric Generation (MWh),Emission Rate (lb/MWh),Carbon Dioxide Emissions (tons),,Total Adj. Baseline Fossil Steam Generation (Used in Appendix 5)
Alabama,AL,Eastern,AL-Eastern,46059840,52123955,2263,53492096,23447826,877,9278,0,0,,,,,,0,0,0,0,46059840,2263,52123955,53492096,877,23447826,9278,,,0,,"  46,059,840 "
Arkansas,AR,Eastern,AR-Eastern,28083856,32108696,2287,15651185,7015577,896,4661,861462,622276,1445,,,,,609,0,0,0,31293530,2287,35778364,15651185,896,7015577,4661,861462,1445,622276,,"  32,154,992 "
Arizona,AZ,Western,AZ-Western,24335930,27598213,2268,26783421,12058895,900,9305,1034710,807926,1562,,,,,0,0,0,0,24335930,2268,27598213,26783421,900,12058895,9305,1034710,1562,807926,,"  25,370,640 "
California,CA,Western,CA-Western,933157,1270049,2722,83942958,37274013,888,16861,10179479,7123997,1400,,,,,0,0,570,1319,933157,2722,1270049,93068612,888,41326166,18749,10179479,1400,7123997,,"  11,112,636 "
Colorado,CO,Western,CO-Western,34248191,38100151,2225,7323418,3360251,918,2200,618,1639,5304,,,,,0,0,200,588,34248191,2225,38100151,11131370,918,5107478,2988,618,5304,1639,,"  34,248,809 "
Connecticut,CT,Eastern,CT-Eastern,103383,156454,3027,15299704,6207716,811,2418,335267,295634,1764,,,,,0,0,0,0,103383,3027,156454,15299704,811,6207716,2418,335267,1764,295634,,"  438,650 "
Delaware,DE,Eastern,DE-Eastern,1412555,1502779,2128,5179270,2536173,979,1130,1078942,770330,1428,,,,,0,0,0,309,1412555,2128,1502779,6672111,979,3267184,1439,1078942,1428,770330,,"  2,491,497 "
Florida,FL,Eastern,FL-Eastern,46401833,52873980,2279,133408757,57857617,867,23946,10050187,7664247,1525,,,,,0,0,1210,1671,46401833,2279,52873980,147327444,867,63893968,26827,10050187,1525,7664247,,"  56,452,021 "
,Fort Mojave,Western,Fort Mojave-Western,0,0,,1360093,583530,858,550,0,0,,,,,,0,0,0,0,,,,1360093,858,583530,550,,,0,,  -   
Georgia,GA,Eastern,GA-Eastern,40990604,47006257,2294,29631545,12437996,840,6222,0,0,,,,,,0,0,1676,0,40990604,2294,47006257,37728636,840,15836792,7898,,,0,,"  40,990,604 "
Iowa,IA,Eastern,IA-Eastern,33009046,37128850,2250,1430248,637095,891,1092,305111,369442,2422,,,,,0,0,0,0,33009046,2250,37128850,1430248,891,637095,1092,305111,2422,369442,,"  33,314,157 "
,ID,Western,ID-Western,0,0,,1214659,506600,834,248,0,0,,2,0,2006976,0,0,0,299,0,,,,3450055,834,1438919,547,,,0,,  -   
Illinois,IL,Eastern,IL-Eastern,75902268,87310630,2301,7870423,3719026,945,2973,0,0,,,,,,1629,0,0,571,84487750,2301,97186538,10627106,945,5021647,3544,,,0,,"  84,487,750 "
Indiana,IN,Eastern,IN-Eastern,93328198,101180864,2168,12839309,6115551,953,2452,2968,3177,2141,,,,,571,0,0,0,96335488,2168,104441189,12839309,953,6115551,2452,2968,2141,3177,,"  96,338,455 "
,KS,Eastern,KS-Eastern,27979593,33079019,2365,0,0,,0,1652252,1274086,1542,,,,,0,0,0,138,27979593,2365,33079019,666706,908,302684,138,1652252,1542,1274086,,"  29,631,845 "
,KY,Eastern,KY-Eastern,84364121,91372076,2166,0,0,,0,0,0,,,,,,0,0,0,640,84364121,2166,91372076,3091968,908,1403753,640,,,0,,"  84,364,121 "
